Region_ID,Region_name,Region_class,Process_ID,Sv_mean,Sv_max,Height_mean,Depth_mean,Ping_M,Dist_M,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,EV_filename,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
6431,"Region 6431","Krill Schools 120",713,-51.788827,-43.184990,18.365270,18.924089,547,2539.126540,20231128, 21:56:40.0011,20231128, 21:57:04.0011,20231128, 21:56:52.0011,-63.01300385,-62.17241791,-63.01303017,-62.17233797,-63.01302167,-62.17239666,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",31.001995,18.510450,75.050391,572.882496,0.00000764341911,-9999.000000,17.760450,-9999.000000,-9999.000000,0.00002152062274,0.00000865774718,0.00012165071097,-39.1488534856,18.365270,120.000000,18.593217,22.265008,0.790514,31.223641,0.032027
6432,"Region 6432","Krill Schools 120",713,-76.718617,-69.810359,3.508517,41.879007,2615,6235.565526,20231129, 02:27:38.0011,20231129, 02:28:08.0011,20231129, 02:27:50.0011,-63.02186052,-62.11647953,-63.02189601,-62.11634508,-63.02187555,-62.11642261,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",9.567065,5.081300,35.548961,33.263248,0.00000002276802,-9999.000000,4.331300,-9999.000000,-9999.000000,0.00000006424838,0.00000003153344,0.00000007468990,-71.2673812921,3.508517,120.000000,41.835886,1.134954,1.000000,9.910406,0.100904
6433,"Region 6433","Krill Schools 120",713,-71.108702,-59.105433,3.357287,125.064068,5283,10912.685361,20231129, 07:09:58.0011,20231129, 07:10:40.0011,20231129, 07:10:16.0011,-63.04422646,-62.04034189,-63.04421588,-62.04011000,-63.04422207,-62.04024585,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",13.518569,4.355400,35.725157,45.712667,0.00000016691665,-9999.000000,3.605400,-9999.000000,-9999.000000,0.00000124733286,0.00000040427972,0.00000026008680,-65.8488169036,3.357287,120.000000,124.927455,0.529837,1.000000,4.813630,0.207743
6434,"Region 6434","Krill Schools 120",713,-58.340373,-49.760305,17.276420,91.738408,10459,21560.567311,20231129, 16:22:57.0011,20231129, 16:23:21.0011,20231129, 16:23:09.0011,-63.07882061,-61.86455260,-63.07879667,-61.86436999,-63.07880796,-61.86446075,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",13.587395,20.688150,66.664065,238.216650,0.00000220091151,-9999.000000,19.938150,-9999.000000,-9999.000000,0.00000543534531,0.00000199823080,0.00002531724470,-45.9658356078,17.276420,120.000000,94.239885,15.319422,0.743697,19.809800,0.050480
6435,"Region 6435","Krill Schools 120",713,-68.483059,-57.672892,4.128556,72.914395,14470,34380.673877,20231129, 22:35:42.0011,20231129, 22:36:24.0011,20231129, 22:36:00.0011,-63.16163395,-61.69842412,-63.16174330,-61.69859658,-63.16168148,-61.69849909,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",16.945036,5.081300,44.196256,70.086470,0.00000028480428,-9999.000000,4.331300,-9999.000000,-9999.000000,0.00000139459965,0.00000031192239,0.00000058545342,-62.3250765005,4.128556,120.000000,73.167566,0.740026,1.000000,6.619745,0.151063
6436,"Region 6436","Krill Schools 120",713,-57.702034,-43.105519,8.008316,167.092310,15844,37350.436618,20231130, 00:54:03.0011,20231130, 00:57:03.0011,20231130, 00:55:33.0011,-63.18314367,-61.73234773,-63.18361166,-61.73308582,-63.18337772,-61.73271686,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",66.196645,15.243900,174.337905,529.231273,0.00000408769733,-9999.000000,14.493900,-9999.000000,-9999.000000,0.00002126275164,0.00000733915818,0.00001359370549,-48.6666214342,8.008316,120.000000,168.047543,13.298424,1.000000,36.558664,0.027353
6437,"Region 6437","Krill Schools 120",713,-63.868185,-53.062129,9.281150,17.029587,17612,41390.560679,20231130, 04:11:58.0011,20231130, 04:12:34.0012,20231130, 04:12:16.0010,-63.21307166,-61.77239833,-63.21300635,-61.77229994,-63.21302500,-61.77239666,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",12.458491,12.340300,50.987446,116.501841,0.00000069561031,-9999.000000,11.590300,-9999.000000,-9999.000000,0.00000210781093,0.00000076150936,0.00000380875692,-54.1921674412,9.281150,120.000000,17.465703,5.347217,0.810056,13.657463,0.073220
6438,"Region 6438","Krill Schools 120",713,-64.191614,-52.127286,4.271642,131.824389,24776,53651.384764,20231130, 15:57:56.0011,20231130, 15:59:08.0011,20231130, 15:58:32.0011,-63.16857734,-61.55821637,-63.16852222,-61.55761437,-63.16854938,-61.55791104,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",33.445047,5.444250,77.393276,143.471620,0.00000075513874,-9999.000000,4.694250,-9999.000000,-9999.000000,0.00000338914293,0.00000136959591,0.00000162717224,-57.8856647326,4.271642,120.000000,132.080067,0.803597,1.000000,11.323300,0.088313
6439,"Region 6439","Krill Schools 120",713,-68.627804,-58.886084,2.385100,13.053050,31631,72127.717099,20231201, 04:18:02.0011,20231201, 04:18:38.0011,20231201, 04:18:20.0011,-63.12667368,-61.21307500,-63.12668291,-61.21294015,-63.12669186,-61.21305127,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",10.624657,2.903600,25.783453,24.972923,0.00000027790647,-9999.000000,2.153600,-9999.000000,-9999.000000,0.00000022629073,0.00000031095115,0.00000032713438,-64.8527380842,2.385100,120.000000,13.430059,0.335331,0.869565,2.901981,0.344592
6440,"Region 6440","Krill Schools 120",713,-79.800846,-72.991141,1.724013,332.411260,31875,72664.217337,20231201, 04:42:38.0011,20231201, 04:42:56.0011,20231201, 04:42:44.0011,-63.12551263,-61.20279269,-63.12549855,-61.20267065,-63.12550768,-61.20274981,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",8.580429,2.177700,21.504281,14.641101,0.00000001800761,-9999.000000,1.427700,-9999.000000,-9999.000000,0.00000011435739,0.00000003986283,0.00000001804911,-77.4354418489,1.724013,120.000000,332.545237,0.270890,1.000000,1.813389,0.551454
6441,"Region 6441","Krill Schools 120",713,-77.300463,-69.169660,1.996225,473.589258,31994,72925.845927,20231201, 04:54:32.0011,20231201, 04:54:50.0011,20231201, 04:54:38.0011,-63.12493273,-61.19776444,-63.12491795,-61.19763624,-63.12492819,-61.19772500,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",8.941205,2.177700,22.188272,17.903528,0.00000003081493,-9999.000000,1.427700,-9999.000000,-9999.000000,0.00000015209975,0.00000005164194,0.00000003716749,-74.2983678116,1.996225,120.000000,473.524333,0.154128,1.000000,2.209045,0.452684
6442,"Region 6442","Krill Schools 120",713,-72.409460,-62.658889,6.805312,23.911146,33309,75584.306780,20231201, 06:55:18.0011,20231201, 06:55:36.0011,20231201, 06:55:24.0011,-63.11904535,-61.14671506,-63.11903043,-61.14658572,-63.11904041,-61.14667229,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",42.245685,10.162600,80.654480,387.069138,0.00000009787058,-9999.000000,9.412600,-9999.000000,-9999.000000,0.00000026928600,0.00000010153486,0.00000039075274,-64.0809797241,6.805312,120.000000,23.190673,8.927224,1.000000,7.040103,0.142043
