Region_ID,Region_name,Region_class,Process_ID,Sv_mean,Sv_max,Height_mean,Depth_mean,Ping_M,Dist_M,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,EV_filename,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
6431,"Region 6431","Krill Schools 120",717,-53.035334,-43.972345,18.365270,18.924089,549,2539.103409,20231128, 21:56:39.0011,20231128, 21:57:03.0011,20231128, 21:56:51.0010,-63.01300128,-62.17242121,-63.01302970,-62.17234510,-63.01302148,-62.17239685,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",30.980991,18.510450,75.125416,572.360160,0.00000532637288,-9999.000000,17.760450,-9999.000000,-9999.000000,0.00001219523778,0.00000750018642,0.00009129854981,-40.3953612078,18.365270,70.000000,17.846752,19.371451,0.790514,33.885270,0.029511
6432,"Region 6432","Krill Schools 120",717,-78.976108,-69.601474,3.508517,41.879007,2619,6235.293990,20231129, 02:27:37.0011,20231129, 02:28:07.0011,20231129, 02:27:49.0010,-63.02185971,-62.11648263,-63.02189511,-62.11634847,-63.02187432,-62.11642724,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",9.477661,5.081300,35.603825,33.134702,0.00000001635909,-9999.000000,4.331300,-9999.000000,-9999.000000,0.00000003809194,0.00000002751044,0.00000004441327,-73.5248724392,3.508517,70.000000,42.427833,1.018611,1.000000,7.969993,0.125471
6433,"Region 6433","Krill Schools 120",717,-72.301572,-64.694002,3.357287,125.064068,5287,10912.396198,20231129, 07:09:57.0010,20231129, 07:10:39.0010,20231129, 07:10:15.0011,-63.04422672,-62.04034759,-63.04421613,-62.04011564,-63.04422233,-62.04025153,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",13.518866,4.355400,35.724928,45.716115,0.00000007719881,-9999.000000,3.605400,-9999.000000,-9999.000000,0.00000022760553,0.00000011147762,0.00000019762019,-67.0416867769,3.357287,70.000000,125.074815,0.591249,1.000000,9.959379,0.100408
6434,"Region 6434","Krill Schools 120",717,-58.645666,-49.494159,17.276420,91.738408,10464,21560.152446,20231129, 16:22:56.0011,20231129, 16:23:20.0011,20231129, 16:23:08.0011,-63.07882276,-61.86455977,-63.07879703,-61.86437385,-63.07880908,-61.86446858,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",13.417514,20.688150,67.077853,234.467254,0.00000189306285,-9999.000000,19.938150,-9999.000000,-9999.000000,0.00000499082199,0.00000259898023,0.00002359865016,-46.2711283800,17.276420,70.000000,93.870955,13.115660,0.731092,21.704568,0.046073
6435,"Region 6435","Krill Schools 120",717,-73.564366,-63.169919,4.128556,72.914395,14475,34380.316323,20231129, 22:35:41.0011,20231129, 22:36:23.0010,20231129, 22:35:59.0011,-63.16163135,-61.69842002,-63.16174198,-61.69859450,-63.16167887,-61.69849497,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",16.938443,5.081300,44.262950,70.480537,0.00000008010980,-9999.000000,4.331300,-9999.000000,-9999.000000,0.00000048121753,0.00000013109185,0.00000018170280,-67.4063838082,4.128556,70.000000,72.738614,0.760490,1.000000,7.722761,0.129487
6436,"Region 6436","Krill Schools 120",717,-57.251067,-43.061458,8.008316,167.092310,15849,37350.079502,20231130, 00:54:02.0011,20231130, 00:57:02.0010,20231130, 00:55:32.0011,-63.18314127,-61.73234395,-63.18360905,-61.73308170,-63.18337511,-61.73271275,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",66.169842,15.243900,174.091455,529.212385,0.00000383554935,-9999.000000,14.493900,-9999.000000,-9999.000000,0.00001593463115,0.00000648092092,0.00001508115336,-48.2156544376,8.008316,70.000000,168.943612,11.173345,1.000000,48.278340,0.020713
6437,"Region 6437","Krill Schools 120",717,-66.478914,-55.255948,9.281150,17.029587,17617,41390.347513,20231130, 04:11:57.0011,20231130, 04:12:33.0010,20231130, 04:12:15.0011,-63.21306868,-61.77239453,-63.21300745,-61.77230567,-63.21302685,-61.77239561,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",12.539097,12.340300,51.073963,117.591416,0.00000041737554,-9999.000000,11.590300,-9999.000000,-9999.000000,0.00000153950177,0.00000067186308,0.00000208790329,-56.8028962129,9.281150,70.000000,17.479809,4.427977,0.810056,11.910864,0.083957
6438,"Region 6438","Krill Schools 120",717,-66.242198,-55.682675,4.271642,131.824389,24783,53650.950600,20231130, 15:57:55.0011,20231130, 15:59:07.0011,20231130, 15:58:31.0011,-63.16857812,-61.55822485,-63.16852241,-61.55761651,-63.16855016,-61.55791949,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",33.450498,5.444250,77.724552,143.898597,0.00000037148306,-9999.000000,4.694250,-9999.000000,-9999.000000,0.00000150787552,0.00000062379058,0.00000101478746,-59.9362490704,4.271642,70.000000,132.012198,1.090862,1.000000,16.193504,0.061753
6439,"Region 6439","Krill Schools 120",717,-75.745067,-69.805314,2.385100,13.053050,31640,72127.437015,20231201, 04:18:01.0010,20231201, 04:18:37.0010,20231201, 04:18:19.0010,-63.12667167,-61.21307500,-63.12668403,-61.21294989,-63.12669000,-61.21305500,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",10.474604,2.903600,25.715983,24.378253,0.00000003148851,-9999.000000,2.153600,-9999.000000,-9999.000000,0.00000012859622,0.00000005174147,0.00000006353307,-71.9700015072,2.385100,70.000000,13.006913,0.404656,0.869565,6.145302,0.162726
6440,"Region 6440","Krill Schools 120",717,-78.578107,-71.521048,1.724013,332.411260,31884,72663.800202,20231201, 04:42:37.0011,20231201, 04:42:55.0011,20231201, 04:42:43.0011,-63.12551345,-61.20279979,-63.12549937,-61.20267775,-63.12550861,-61.20275782,"15.0.249.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",8.580666,2.177700,21.508618,14.675489,0.00000002279423,-9999.000000,1.427700,-9999.000000,-9999.000000,0.00000006364787,0.00000002947228,0.00000002391827,-76.2127024787,1.724013,70.000000,332.496316,0.526102,1.000000,1.938536,0.515853
