Region_ID,Region_name,Region_class,Process_ID,Sv_mean,Sv_max,Height_mean,Depth_mean,Ping_M,Dist_M,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,EV_filename,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
5815,"Region 5815","Krill Schools 120",706,-66.103405,-62.198658,4.274744,16.125024,1240,3804.174791,20231128, 22:32:53.0011,20231128, 22:33:41.0011,20231128, 22:33:17.0012,-63.01739193,-62.16035439,-63.01740084,-62.16012613,-63.01739333,-62.16028332,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",14.532638,6.896050,42.500903,57.682665,0.00000018387625,12.894276,6.146050,37.724178,45.613510,0.00000019402415,0.00000006628969,0.00000104850307,-59.7943029542,4.274744,120.000000,16.425667,1.594767,1.000000,24.714382,0.040462
5816,"Region 5816","Krill Schools 120",706,-52.211728,-46.134121,7.299328,31.112101,1836,4971.688885,20231128, 23:56:07.0011,20231128, 23:56:55.0011,20231128, 23:56:31.0011,-63.02074866,-62.13924176,-63.02075861,-62.13906749,-63.02075379,-62.13915189,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",10.018613,13.429150,46.844029,73.690599,0.00000656368818,0.876364,12.679150,27.059533,6.085983,0.00001132533292,0.00000213274821,0.00004386418452,-43.5788994024,7.299328,120.000000,32.961127,8.091427,1.000000,30.046468,0.033282
5817,"Region 5817","Krill Schools 120",706,-47.024563,-41.324090,4.101335,163.984878,1892,5033.934160,20231129, 00:01:43.0011,20231129, 00:02:37.0011,20231129, 00:02:07.0011,-63.02081839,-62.13802063,-63.02082956,-62.13782503,-63.02082343,-62.13793224,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",11.109508,13.066200,52.811317,45.557981,0.00002348592002,-9999.000000,12.316200,-9999.000000,-9999.000000,0.00005131410226,0.00001592683059,0.00008137087599,-40.8953100863,4.101335,120.000000,162.449014,9.138453,0.982301,17.168385,0.058247
5818,"Region 5818","Krill Schools 120",706,-53.160791,-45.418697,21.797164,40.939932,2262,5430.820532,20231129, 00:52:06.0010,20231129, 00:53:48.0011,20231129, 00:52:54.0011,-63.02134056,-62.13063208,-63.02141156,-62.13039840,-63.02137612,-62.13050667,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",15.052792,39.561550,113.510398,322.633790,0.00000474101417,4.844222,38.811550,91.593259,101.860201,0.00000748931559,0.00000116068544,0.00010527393482,-39.7767914416,21.797164,120.000000,40.678310,57.990409,1.000000,199.900884,0.005002
5819,"Region 5819","Krill Schools 120",706,-64.971770,-60.645035,3.193960,72.941952,8906,14558.319140,20231129, 12:58:53.0011,20231129, 12:59:17.0011,20231129, 12:59:05.0011,-63.03755603,-61.98311959,-63.03759266,-61.98295662,-63.03757443,-61.98303774,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",11.488867,3.629500,30.232498,36.696212,0.00000030053343,11.488867,2.879500,28.732498,29.113305,0.00000058967582,0.00000018248227,0.00000101660564,-59.9284748522,3.193960,120.000000,73.019330,0.498907,1.000000,8.534181,0.117176
5820,"Region 5820","Krill Schools 120",706,-62.526641,-60.271833,2.177700,87.032385,8905,14555.999238,20231129, 12:58:53.0011,20231129, 12:59:11.0011,20231129, 12:58:59.0011,-63.03755603,-61.98311959,-63.03758253,-61.98300167,-63.03756519,-61.98307882,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",9.202382,2.540650,23.241072,19.952186,0.00000032866236,2.818634,1.790650,8.973575,4.307197,0.00000015580087,0.00000020447146,0.00000121712153,-59.1466605570,2.177700,120.000000,87.060156,0.260272,1.000000,6.542616,0.152844
5821,"Region 5821","Krill Schools 120",706,-70.535647,-67.546730,3.448025,36.103974,10427,18011.376072,20231129, 15:30:59.0011,20231129, 15:31:29.0011,20231129, 15:31:11.0011,-63.05130156,-61.92195636,-63.05134724,-61.92175306,-63.05131978,-61.92187527,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",51.490467,4.718350,74.693556,170.519242,0.00000004414433,50.306304,3.968350,70.825229,140.116340,0.00000003738445,0.00000001240157,0.00000030479352,-65.1599426823,3.448025,120.000000,36.059538,1.108940,1.000000,16.616789,0.060180
5822,"Region 5822","Krill Schools 120",706,-66.949796,-62.072142,6.170150,56.095346,13100,26359.098139,20231129, 20:41:05.0011,20231129, 20:41:23.0011,20231129, 20:41:11.0011,-63.08604333,-61.77877755,-63.08602724,-61.77864185,-63.08602833,-61.77873785,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",9.997488,8.347850,46.729508,63.199022,0.00000021271501,-9999.000000,7.597850,-9999.000000,-9999.000000,0.00000012480345,0.00000010139293,0.00000124542074,-59.0468390772,6.170150,120.000000,54.722965,3.937377,0.941176,11.784866,0.084855
5823,"Region 5823","Krill Schools 120",706,-71.085218,-69.940455,2.177700,69.988858,13100,26359.098139,20231129, 20:41:05.0011,20231129, 20:41:17.0011,20231129, 20:41:11.0011,-63.08604333,-61.77877755,-63.08603048,-61.77869162,-63.08602833,-61.77873785,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",7.811190,2.177700,19.473595,17.010428,0.00000002417218,7.811190,1.427700,17.973595,11.152035,0.00000000000000,0.00000000607272,0.00000016961967,-67.7052377747,2.177700,120.000000,70.153055,0.357260,1.000000,5.988394,0.166990
5824,"Region 5824","Krill Schools 120",706,-68.196231,-64.695243,4.718350,76.703433,13100,26359.098139,20231129, 20:41:05.0011,20231129, 20:41:17.0011,20231129, 20:41:11.0011,-63.08604333,-61.77877755,-63.08603048,-61.77869162,-63.08602833,-61.77873785,"15.0.246.0","C:\Work\2023-24 AMLR04\20231128_AMLR04.EV",7.811190,4.718350,24.554895,36.855927,0.00000011742804,7.811190,3.968350,23.054895,30.997535,0.00000000000000,0.00000005633846,0.00000071477119,-61.4583295847,4.718350,120.000000,76.982489,0.922800,1.000000,8.927951,0.112008
