Process_ID,Interval,Layer,Sv_mean,NASC,Sv_max,Height_mean,Depth_mean,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,ABC
680,6,1,-109.739029,0.114427,-98.298794,250.000000,125.000000,20020131, 16:38:30.0000,-62.43241000,-60.29732333,-62.43114283,-60.29408567,-62.43201073,-60.29622504,0.00000000265483
680,7,1,-96.745294,2.279830,-83.747560,250.000000,125.000000,20020131, 16:39:50.0000,-62.43066000,-60.29307000,-62.42964333,-60.29095333,-62.43016073,-60.29200837,0.00000005289451
680,8,1,-105.414720,0.309713,-95.204702,250.000000,125.000000,20020131, 16:40:50.0000,-62.42911000,-60.28993667,-62.42801431,-60.28775837,-62.42855955,-60.28885561,0.00000000718568
680,9,1,-107.327707,0.199371,-95.594877,250.000000,125.000000,20020131, 16:41:50.0000,-62.42746333,-60.28655667,-62.42636424,-60.28415825,-62.42691073,-60.28535837,0.00000000462561
680,10,1,-105.722419,0.288529,-94.697396,250.000000,125.000000,20020131, 16:42:30.0000,-62.42581000,-60.28297333,-62.42521333,-60.28175667,-62.42581000,-60.28297333,0.00000000669419
680,11,1,-109.610058,0.117876,-98.015755,250.000000,125.000000,20020131, 16:43:30.0000,-62.42461068,-60.28054159,-62.42338000,-60.27799333,-62.42401000,-60.27927667,0.00000000273485
680,12,1,-99.003456,1.355459,-89.100393,250.000000,125.000000,20020131, 16:44:30.0000,-62.42276424,-60.27667848,-62.42153098,-60.27394886,-62.42214667,-60.27531000,0.00000003144810
680,13,1,-101.182871,0.820625,-90.048119,250.000000,125.000000,20020131, 16:45:10.0000,-62.42089764,-60.27257862,-62.42024667,-60.27119667,-62.42089764,-60.27257862,0.00000001903938
680,14,1,-93.554441,4.753218,-85.598949,250.000000,125.000000,20020131, 16:45:50.0000,-62.41959764,-60.26981553,-62.41894667,-60.26846000,-62.41959764,-60.26981553,0.00000011027978
680,15,1,-92.010271,6.782733,-81.965085,250.000000,125.000000,20020131, 16:46:50.0000,-62.41827967,-60.26707600,-62.41689764,-60.26439528,-62.41759667,-60.26574333,0.00000015736671
